industry_branch;year;yoy_change_pct;trend
Administrativní a podpùrné èinnosti;2007;5.48;UP
Administrativní a podpùrné èinnosti;2008;1.91;UP
Administrativní a podpùrné èinnosti;2009;2.54;UP
Administrativní a podpùrné èinnosti;2010;0.14;UP
Administrativní a podpùrné èinnosti;2011;3.79;UP
Administrativní a podpùrné èinnosti;2012;2.98;UP
Administrativní a podpùrné èinnosti;2013;-1.24;DOWN
Administrativní a podpùrné èinnosti;2014;2.21;UP
Administrativní a podpùrné èinnosti;2015;2.15;UP
Administrativní a podpùrné èinnosti;2016;5.74;UP
Administrativní a podpùrné èinnosti;2017;5.33;UP
Administrativní a podpùrné èinnosti;2018;7.08;UP
Doprava a skladování;2007;7.25;UP
Doprava a skladování;2008;8.33;UP
Doprava a skladování;2009;2.84;UP
Doprava a skladování;2010;0.23;UP
Doprava a skladování;2011;0.00;DOWN
Doprava a skladování;2012;1.00;UP
Doprava a skladování;2013;0.52;UP
Doprava a skladování;2014;1.96;UP
Doprava a skladování;2015;3.23;UP
Doprava a skladování;2016;4.75;UP
Doprava a skladování;2017;6.24;UP
Doprava a skladování;2018;7.41;UP
Informaèní a komunikaèní èinnosti;2007;6.59;UP
Informaèní a komunikaèní èinnosti;2008;9.53;UP
Informaèní a komunikaèní èinnosti;2009;3.10;UP
Informaèní a komunikaèní èinnosti;2010;1.64;UP
Informaèní a komunikaèní èinnosti;2011;3.53;UP
Informaèní a komunikaèní èinnosti;2012;2.88;UP
Informaèní a komunikaèní èinnosti;2013;-1.04;DOWN
Informaèní a komunikaèní èinnosti;2014;3.72;UP
Informaèní a komunikaèní èinnosti;2015;2.37;UP
Informaèní a komunikaèní èinnosti;2016;2.33;UP
Informaèní a komunikaèní èinnosti;2017;5.32;UP
Informaèní a komunikaèní èinnosti;2018;7.41;UP
Kulturní, zábavní a rekreaèní èinnosti;2007;6.39;UP
Kulturní, zábavní a rekreaèní èinnosti;2008;4.96;UP
Kulturní, zábavní a rekreaèní èinnosti;2009;3.50;UP
Kulturní, zábavní a rekreaèní èinnosti;2010;1.98;UP
Kulturní, zábavní a rekreaèní èinnosti;2011;0.16;UP
Kulturní, zábavní a rekreaèní èinnosti;2012;4.75;UP
Kulturní, zábavní a rekreaèní èinnosti;2013;-1.43;DOWN
Kulturní, zábavní a rekreaèní èinnosti;2014;3.86;UP
Kulturní, zábavní a rekreaèní èinnosti;2015;3.50;UP
