year;avg_salary;milk_price;bread_price;liters_of_milk;kilos_of_bread
2006;19536.00;14.44;16.12;1352.91;1211.91
2007;20947.25;15.59;18.85;1343.63;1111.26
2008;22592.00;17.93;22.88;1260.01;987.41
2009;23353.25;15.66;19.58;1491.27;1192.71
2010;23858.25;16.03;18.39;1488.35;1297.35
2011;24451.50;17.65;21.63;1385.35;1130.44
2012;25063.00;18.80;22.91;1333.14;1093.98
2013;25030.50;19.34;23.12;1294.23;1082.63
2014;25760.00;20.70;23.00;1244.44;1120.00
2015;26581.50;19.54;22.44;1360.36;1184.56
2016;27755.50;17.90;21.77;1550.59;1274.94
2017;29625.50;19.50;24.17;1519.26;1225.71
2018;32043.00;19.82;24.24;1616.70;1321.91
